title,category,slug,noc_code,median_pay_annual,median_pay_hourly,entry_education,num_jobs_2023,projected_job_openings_2033,outlook_pct,outlook_desc,future_lmc,recent_lmc,url
Chief executives and senior managers,Management occupations,chief-executives-and-senior-managers,1120,350000,168,Management experience,25000,12000,3,Balance,Good,Balance,
Senior government officials,Management occupations,senior-government-officials,1111,280000,135,Management experience,8000,3500,2,Balance,Balance,Balance,
Healthcare and social service managers,Management occupations,healthcare-and-social-service-managers,1342,260000,125,Management experience,15000,7000,5,Good,Good,Good,
Education managers and school principals,Management occupations,education-managers-and-school-principals,1345,220000,106,Management experience,20000,9000,5,Good,Good,Good,
Financial and administrative managers,Management occupations,financial-and-administrative-managers,1211,280000,135,Management experience,30000,13000,3,Balance,Balance,Good,
Information technology managers,Management occupations,information-technology-managers,1330,380000,183,Management experience,40000,22000,10,Very good,Very good,Very good,
Human resources managers,Management occupations,human-resources-managers,1212,230000,111,Management experience,18000,8000,3,Balance,Balance,Balance,
Marketing and sales managers,Management occupations,marketing-and-sales-managers,1221,260000,125,Management experience,25000,11000,3,Balance,Balance,Balance,
Construction and infrastructure managers,Management occupations,construction-and-infrastructure-managers,1323,220000,106,Management experience,20000,10000,6,Good,Good,Good,
Retail and service industry managers,Management occupations,retail-and-service-industry-managers,1420,160000,77,Management experience,30000,13000,2,Balance,Balance,Balance,
Software developers and engineers,High-tech and digital occupations,software-developers-and-engineers,2512,380000,183,University degree,180000,90000,12,Very good,Very good,Very good,
Cybersecurity specialists,High-tech and digital occupations,cybersecurity-specialists,2529,400000,192,University degree,25000,15000,12,Very good,Very good,Very good,
Data scientists and analysts,High-tech and digital occupations,data-scientists-and-analysts,2511,360000,173,University degree,20000,13000,12,Very good,Very good,Very good,
AI and machine learning engineers,High-tech and digital occupations,ai-and-machine-learning-engineers,2519,420000,202,University degree,15000,11000,12,Very good,Very good,Very good,
Cloud and DevOps engineers,High-tech and digital occupations,cloud-and-devops-engineers,2522,350000,168,University degree,20000,13000,12,Very good,Very good,Very good,
Systems and network architects,High-tech and digital occupations,systems-and-network-architects,2514,420000,202,University degree,10000,6000,10,Very good,Very good,Very good,
Product managers - technology,High-tech and digital occupations,product-managers-technology,1336,360000,173,University degree,15000,9000,12,Very good,Very good,Very good,
UX and UI designers,High-tech and digital occupations,ux-and-ui-designers,2166,240000,115,University degree,12000,7000,10,Very good,Very good,Good,
General practitioners and family physicians,Healthcare and medical occupations,general-practitioners-and-family-physicians,2211,420000,202,University degree,15000,7000,8,Good,Good,Good,
Specialist physicians,Healthcare and medical occupations,specialist-physicians,2212,600000,288,University degree,20000,9000,8,Good,Good,Good,
Surgeons,Healthcare and medical occupations,surgeons,2213,700000,337,University degree,5000,2500,6,Good,Good,Good,
Dentists,Healthcare and medical occupations,dentists,2261,400000,192,University degree,12000,5500,5,Good,Balance,Good,
Pharmacists,Healthcare and medical occupations,pharmacists,2262,200000,96,University degree,10000,4500,5,Good,Balance,Good,
Registered nurses,Healthcare and medical occupations,registered-nurses,2221,160000,77,University degree,40000,20000,10,Very good,Very good,Very good,
Psychologists and therapists,Healthcare and medical occupations,psychologists-and-therapists,2634,160000,77,University degree,8000,4000,8,Good,Good,Good,
Veterinarians,Healthcare and medical occupations,veterinarians,2250,220000,106,University degree,5000,2500,5,Good,Balance,Good,
Lawyers and legal counsel,Legal and financial professions,lawyers-and-legal-counsel,2611,250000,120,University degree,60000,25000,2,Balance,Balance,Balance,
Judges,Legal and financial professions,judges,2612,400000,192,University degree,1500,600,2,Balance,Balance,Balance,
Certified public accountants,Legal and financial professions,certified-public-accountants,2411,200000,96,University degree,40000,16000,3,Balance,Good,Balance,
Financial analysts and advisors,Legal and financial professions,financial-analysts-and-advisors,2412,240000,115,University degree,15000,7000,5,Good,Good,Good,
Investment managers and fund managers,Legal and financial professions,investment-managers-and-fund-managers,2413,450000,216,University degree,5000,2200,3,Balance,Good,Balance,
Tax advisors and consultants,Legal and financial professions,tax-advisors-and-consultants,2414,200000,96,University degree,12000,5000,2,Balance,Balance,Balance,
University professors and researchers,Education and research occupations,university-professors-and-researchers,2310,220000,106,University degree,15000,6000,5,Good,Good,Balance,
Secondary school teachers,Education and research occupations,secondary-school-teachers,2330,130000,63,University degree,70000,30000,6,Good,Good,Good,
Primary school teachers,Education and research occupations,primary-school-teachers,2320,120000,58,University degree,80000,35000,6,Good,Good,Good,
